date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-12 15:59:36,andressalie,DanielDiasCo,1,0,1,"parca tem q vê bem as coisa q ce tá comendo meus furo da orelha nunca me deu problema assim",,,,1227623297627672577,https://twitter.com/andressalie/status/1227623297627672577
2020-02-12 15:58:00,fbdesenvolvedor,,0,0,0,"Alguém da extrema-imprensa já deu algum furo hoje? ",,,,1227622891048620033,https://twitter.com/fbdesenvolvedor/status/1227622891048620033
2020-02-12 15:55:53,fnms80,gibrasilll,0,0,2,"Se foder é o que ela fez. Deu o furo!",,,,1227622361421275136,https://twitter.com/fnms80/status/1227622361421275136
2020-02-12 15:55:32,SargentoGarcia,DZlia3,0,0,0,"Quem deu alguma vez o furo nunca mais foi o mesmo ",,,,1227622270530658304,https://twitter.com/SargentoGarcia/status/1227622270530658304
2020-02-12 15:53:58,jacob07230830,JornalDaCidadeO,0,0,0,"Queria dar um furo, mas não deu. Como diria uma figura notória do país “ quem deu não tinha que dar porque quem vai dar ou não dar nem vai dar e nem vai receber “.",,,,1227621877130170368,https://twitter.com/jacob07230830/status/1227621877130170368
2020-02-12 15:52:17,rick_from_bsb,camposmello,0,0,0,"Tem tratamento pra jornalista frustrada, porque que não deu o furo?",,,,1227621452846858243,https://twitter.com/rick_from_bsb/status/1227621452846858243
2020-02-12 15:51:40,djdecosa,camposmello,0,0,1,"Kkkkkkk que furo kkkk deu ruimm",,,,1227621298702049281,https://twitter.com/djdecosa/status/1227621298702049281
2020-02-12 15:49:47,lucianogbreu,camposmello,0,0,0,"A sua moral e credibilidade já foi há muito tempo. Principalmente depois do furo que não deu!",,,,1227620827300007937,https://twitter.com/lucianogbreu/status/1227620827300007937
2020-02-12 15:47:37,oemaildoleo,camposmello,0,0,0,"Agora você deu o furo de reportagem",,,,1227620282011201538,https://twitter.com/oemaildoleo/status/1227620282011201538
2020-02-12 15:42:48,elimarciacosta1,gugachacra,0,0,0,"Guga já deu furo TB?!",,,,1227619069953789953,https://twitter.com/elimarciacosta1/status/1227619069953789953
2020-02-12 15:41:36,pereira_dcsp,MonicaWaldvogel,0,0,0,"Pois a Comissão chamou essa testemunha justamente para ajudá-la a manter a narrativa do tal furo jornalístico. Deu errado.",,,,1227618765711585286,https://twitter.com/pereira_dcsp/status/1227618765711585286
2020-02-12 15:40:51,MarcosA74382174,MiriamLeitaoCom,0,0,0,"Já deu o furo hoje Amélia?",,,,1227618578649813004,https://twitter.com/MarcosA74382174/status/1227618578649813004
2020-02-12 15:39:22,FabrcioTorres4,portaldaband,0,0,1,"Ela deu o furo!",,,,1227618202747887622,https://twitter.com/FabrcioTorres4/status/1227618202747887622
2020-02-12 15:37:34,IanGarciaBrasil,GDimenstein,0,0,0,"A excelente repórter , que tem o pai acusado e delatado pela Odebrecht por receber 1,5 milhões em propinas para publicar fake news credibilidade de vcs é 0 , a repórter deu a alma pelo furo , e agora isso ? Canalhas hipócritas",,,,1227617752921395202,https://twitter.com/IanGarciaBrasil/status/1227617752921395202
2020-02-12 15:37:25,Pequena05246490,FantasminhaD,3,0,9,"E o Celso Daniel, te deu algum furo por aí, fantasminha? As testemunhas estão todas aí também! Conta, conta, conta ",,,,1227617713260040192,https://twitter.com/Pequena05246490/status/1227617713260040192
2020-02-12 15:37:12,SerraVagner,leandroruschel,0,0,0,"Ela deu o furo",,,,1227617660185305090,https://twitter.com/SerraVagner/status/1227617660185305090
2020-02-12 15:34:29,Jocelio01,MonicaWaldvogel,2,3,7,"O especialista, leitor, ouvinte, o povo quer saber: Deu o furo ou não?",,,,1227616975100239880,https://twitter.com/Jocelio01/status/1227616975100239880
2020-02-12 15:34:11,tonny_coxa,,0,0,1,"Jornalismo em Vertigem, o furo não deu...",,,,1227616900944887808,https://twitter.com/tonny_coxa/status/1227616900944887808
2020-02-12 15:31:47,AV_Teodoro,leandroruschel,0,0,0,"Vertigem, a jornalista que deu o Furo.",,,,1227616295048417280,https://twitter.com/AV_Teodoro/status/1227616295048417280
2020-02-12 15:30:02,EuLasque,camposmello,0,0,0,"AFINAL, VC DEU O FURO OU NÃO?",,,,1227615856408043521,https://twitter.com/EuLasque/status/1227615856408043521
2020-02-12 15:30:01,MaelCosta2,Valdirbolsonaro,0,0,3,"Será se ele já deu o furo?",,,,1227615849730760705,https://twitter.com/MaelCosta2/status/1227615849730760705
2020-02-12 15:29:44,jczjunior,veramagalhaes,1,0,6,"Véia Magalhães; vai consolar a que deu o furo, vai!",,,,1227615778951835651,https://twitter.com/jczjunior/status/1227615778951835651
2020-02-12 15:27:11,MarlonGusmao1,MiriamLeitaoCom,0,0,0,"Miriam já deu muito furo nessa vida",,,,1227615136103489538,https://twitter.com/MarlonGusmao1/status/1227615136103489538
